,Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,imdb_id
948,962,Identity Thief,"$173,965,010","$134,506,920",77.3%,"$39,458,090",22.7%,2013,tt2024432
949,963,The Nutcracker and the Four Realms,"$173,961,069","$54,858,851",31.5%,"$119,102,218",68.5%,2018,tt5523010
950,964,Big Momma's House,"$173,959,438","$117,559,438",67.6%,"$56,400,000",32.4%,2000,tt0208003
951,965,In Time,"$173,930,596","$37,520,095",21.6%,"$136,410,501",78.4%,2011,tt1637688
952,966,Amélie,"$173,924,742","$33,225,499",19.1%,"$140,699,243",80.9%,2001,tt0211915
953,967,Operation Mekong,"$173,839,072","$800,012",0.5%,"$173,039,060",99.5%,2016,tt6044910
954,968,Anchorman 2: The Legend Continues,"$173,649,931","$127,352,707",73.3%,"$46,297,224",26.7%,2013,tt1229340
955,969,Creed,"$173,567,581","$109,767,581",63.2%,"$63,800,000",36.8%,2015,tt3076658
956,970,Gemini Man,"$173,469,516","$48,546,770",28%,"$124,922,746",72%,2019,tt1025100
957,971,The Girl on the Train,"$173,185,859","$75,395,035",43.5%,"$97,790,824",56.5%,2016,tt3631112
958,972,Scream,"$173,046,663","$103,046,663",59.6%,"$70,000,000",40.4%,1996,tt0117571
959,973,Cold Mountain,"$173,013,509","$95,636,509",55.3%,"$77,377,000",44.7%,2003,tt0159365
960,974,Black Hawk Down,"$172,989,651","$108,638,745",62.8%,"$64,350,906",37.2%,2001,tt0265086
961,975,The Grand Budapest Hotel,"$172,936,941","$59,301,324",34.3%,"$113,635,617",65.7%,2014,tt2278388
962,976,The Santa Clause 2,"$172,855,065","$139,236,327",80.6%,"$33,618,738",19.4%,2002,tt0304669
963,977,Cloverfield,"$172,394,180","$80,048,433",46.4%,"$92,345,747",53.6%,2008,tt1060277
964,978,Scream 2,"$172,363,301","$101,363,301",58.8%,"$71,000,000",41.2%,1997,tt0120082
965,979,Couples Retreat,"$171,844,840","$109,204,945",63.6%,"$62,639,895",36.4%,2009,tt1078940
966,980,Antz,"$171,757,863","$90,757,863",52.8%,"$81,000,000",47.2%,1998,tt0120587
967,981,Blood Diamond,"$171,720,398","$57,377,916",33.4%,"$114,342,482",66.6%,2006,tt0450259
968,982,Jackass 3D,"$171,685,792","$117,229,692",68.3%,"$54,456,100",31.7%,2010,tt1116184
969,983,No Country for Old Men,"$171,627,166","$74,283,625",43.3%,"$97,343,541",56.7%,2007,tt0477348
970,984,Spies in Disguise,"$171,616,764","$66,757,013",38.9%,"$104,859,751",61.1%,2019,tt5814534
971,985,John Wick: Chapter 2,"$171,539,887","$92,029,184",53.6%,"$79,510,703",46.4%,2017,tt4425200
972,986,Cocktail,"$171,504,781","$78,222,753",45.6%,"$93,282,028",54.4%,1988,tt0094889
973,988,Mr. Deeds,"$171,269,535","$126,293,452",73.7%,"$44,976,083",26.3%,2002,tt0280590
974,989,Contact,"$171,120,329","$100,920,329",59%,"$70,200,000",41%,1997,tt0118884
975,990,Superbad,"$170,812,526","$121,463,226",71.1%,"$49,349,300",28.9%,2007,tt0829482
976,991,The Other Guys,"$170,458,922","$119,219,978",69.9%,"$51,238,944",30.1%,2010,tt1386588
977,992,The Specialist,"$170,362,582","$57,362,582",33.7%,"$113,000,000",66.3%,1994,tt0111255
978,993,Olympus Has Fallen,"$170,270,201","$98,925,640",58.1%,"$71,344,561",41.9%,2013,tt2302755
979,994,Starsky & Hutch,"$170,268,750","$88,237,754",51.8%,"$82,030,996",48.2%,2004,tt0335438
980,995,Shall We Dance,"$170,128,460","$57,890,460",34%,"$112,238,000",66%,2004,tt0358135
981,996,Stuart Little 2,"$169,956,806","$64,956,806",38.2%,"$105,000,000",61.8%,2002,tt0243585
982,997,Zookeeper,"$169,852,759","$80,360,843",47.3%,"$89,491,916",52.7%,2011,tt1222817
983,998,Dumb and Dumber To,"$169,837,010","$86,208,010",50.8%,"$83,629,000",49.2%,2014,tt2096672
984,999,Ghost in the Shell,"$169,801,921","$40,563,557",23.9%,"$129,238,364",76.1%,2017,tt1219827
985,"1,000",Seven Pounds,"$169,748,929","$69,951,824",41.2%,"$99,797,105",58.8%,2008,tt0814314
986,"1,001",Meet the Robinsons,"$169,333,034","$97,822,171",57.8%,"$71,510,863",42.2%,2007,tt0396555
987,"1,002",The Emperor's New Groove,"$169,327,687","$89,302,687",52.7%,"$80,025,000",47.3%,2000,tt0120917
988,"1,003",12 Monkeys,"$168,839,459","$57,141,459",33.8%,"$111,698,000",66.2%,1995,tt0114746
989,"1,004",Dodgeball,"$168,423,227","$114,326,736",67.9%,"$54,096,491",32.1%,2004,tt0364725
990,"1,005",Hellboy II: The Golden Army,"$168,319,243","$75,986,503",45.1%,"$92,332,740",54.9%,2008,tt0411477
