,Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,imdb_id
0,1,Avengers: Endgame,"$2,797,800,564","$858,373,000",30.7%,"$1,939,427,564",69.3%,2019,tt4154796
1,2,Avatar,"$2,790,439,000","$760,507,625",27.2%,"$2,029,931,375",72.8%,2009,tt0499549
2,3,Titanic,"$2,194,439,542","$659,363,944",30%,"$1,535,075,598",70%,1997,tt0120338
3,4,Star Wars: Episode VII - The Force Awakens,"$2,068,223,624","$936,662,225",45.3%,"$1,131,561,399",54.7%,2015,tt2488496
4,5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,tt4154756
5,6,Jurassic World,"$1,670,400,637","$652,270,625",39%,"$1,018,130,012",61%,2015,tt0369610
6,7,The Lion King,"$1,656,943,394","$543,638,043",32.8%,"$1,113,305,351",67.2%,2019,tt6105098
7,8,The Avengers,"$1,518,812,988","$623,357,910",41%,"$895,455,078",59%,2012,tt0848228
8,9,Furious 7,"$1,515,047,671","$353,007,020",23.3%,"$1,162,040,651",76.7%,2015,tt2820852
9,10,Frozen II,"$1,450,026,933","$477,373,578",32.9%,"$972,653,355",67.1%,2019,tt4520988
10,11,Avengers: Age of Ultron,"$1,402,805,868","$459,005,868",32.7%,"$943,800,000",67.3%,2015,tt2395427
11,12,Black Panther,"$1,346,913,161","$700,059,566",52%,"$646,853,595",48%,2018,tt1825683
12,13,Harry Potter and the Deathly Hallows: Part 2,"$1,341,932,398","$381,409,310",28.4%,"$960,523,088",71.6%,2011,tt1201607
13,14,Star Wars: Episode VIII - The Last Jedi,"$1,332,539,889","$620,181,382",46.5%,"$712,358,507",53.5%,2017,tt2527336
14,15,Jurassic World: Fallen Kingdom,"$1,308,467,944","$417,719,760",31.9%,"$890,748,184",68.1%,2018,tt4881806
15,16,Frozen,"$1,280,802,282","$400,738,009",31.3%,"$880,064,273",68.7%,2013,tt2294629
16,17,Beauty and the Beast,"$1,263,521,126","$504,014,165",39.9%,"$759,506,961",60.1%,2017,tt2771200
17,18,Incredibles 2,"$1,242,805,359","$608,581,744",49%,"$634,223,615",51%,2018,tt3606756
18,19,The Fate of the Furious,"$1,236,005,118","$226,008,385",18.3%,"$1,009,996,733",81.7%,2017,tt4630562
19,20,Iron Man 3,"$1,214,811,252","$409,013,994",33.7%,"$805,797,258",66.3%,2013,tt1300854
20,21,Minions,"$1,159,398,397","$336,045,770",29%,"$823,352,627",71%,2015,tt2293640
21,22,Captain America: Civil War,"$1,153,296,293","$408,084,349",35.4%,"$745,211,944",64.6%,2016,tt3498820
22,23,Aquaman,"$1,148,461,807","$335,061,807",29.2%,"$813,400,000",70.8%,2018,tt1477834
23,24,The Lord of the Rings: The Return of the King,"$1,142,219,401","$377,845,905",33.1%,"$764,373,496",66.9%,2003,tt0167260
24,25,Spider-Man: Far from Home,"$1,131,927,996","$390,532,085",34.5%,"$741,395,911",65.5%,2019,tt6320628
25,26,Captain Marvel,"$1,128,274,794","$426,829,839",37.8%,"$701,444,955",62.2%,2019,tt4154664
26,27,Transformers: Dark of the Moon,"$1,123,794,079","$352,390,543",31.4%,"$771,403,536",68.6%,2011,tt1399103
27,28,Skyfall,"$1,108,561,013","$304,360,277",27.5%,"$804,200,736",72.5%,2012,tt1074638
28,29,Transformers: Age of Extinction,"$1,104,054,072","$245,439,076",22.2%,"$858,614,996",77.8%,2014,tt2109248
29,30,The Dark Knight Rises,"$1,081,041,287","$448,139,099",41.4%,"$632,902,188",58.6%,2012,tt1345836
30,31,Joker,"$1,074,251,311","$335,451,311",31.2%,"$738,800,000",68.8%,2019,tt7286456
31,32,Star Wars: Episode IX - The Rise of Skywalker,"$1,074,144,248","$515,202,542",48%,"$558,941,706",52%,2019,tt2527338
32,33,Toy Story 4,"$1,073,394,593","$434,038,008",40.4%,"$639,356,585",59.6%,2019,tt1979376
33,34,Toy Story 3,"$1,066,969,703","$415,004,880",38.9%,"$651,964,823",61.1%,2010,tt0435761
34,35,Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,725","$423,315,812",39.7%,"$642,863,913",60.3%,2006,tt0383574
35,36,Rogue One: A Star Wars Story,"$1,056,057,273","$532,177,324",50.4%,"$523,879,949",49.6%,2016,tt3748528
36,37,Aladdin,"$1,050,693,953","$355,559,216",33.8%,"$695,134,737",66.2%,2019,tt6139732
37,38,Pirates of the Caribbean: On Stranger Tides,"$1,045,713,802","$241,071,802",23%,"$804,642,000",77%,2011,tt1298650
38,39,Despicable Me 3,"$1,034,799,409","$264,624,300",25.6%,"$770,175,109",74.4%,2017,tt3469046
39,40,Jurassic Park,"$1,032,020,521","$402,828,120",39%,"$629,192,401",61%,1993,tt0107290
40,41,Finding Dory,"$1,028,570,889","$486,295,561",47.3%,"$542,275,328",52.7%,2016,tt2277860
41,42,Star Wars: Episode I - The Phantom Menace,"$1,027,082,707","$474,544,677",46.2%,"$552,538,030",53.8%,1999,tt0120915
42,43,Alice in Wonderland,"$1,025,467,110","$334,191,110",32.6%,"$691,276,000",67.4%,2010,tt1014759
43,44,Zootopia,"$1,023,784,195","$341,268,248",33.3%,"$682,515,947",66.7%,2016,tt2948356
44,45,The Hobbit: An Unexpected Journey,"$1,017,003,568","$303,003,568",29.8%,"$714,000,000",70.2%,2012,tt0903624
45,46,The Dark Knight,"$1,004,934,033","$535,234,033",53.3%,"$469,700,000",46.7%,2008,tt0468569
46,47,Harry Potter and the Sorcerer's Stone,"$978,087,613","$318,087,620",32.5%,"$659,999,993",67.5%,2001,tt0241527
47,48,Harry Potter and the Deathly Hallows: Part 1,"$976,920,103","$296,347,721",30.3%,"$680,572,382",69.7%,2010,tt0926084
48,49,Despicable Me 2,"$970,766,005","$368,065,385",37.9%,"$602,700,620",62.1%,2013,tt1690953
49,50,The Lion King,"$968,511,805","$422,783,777",43.6%,"$545,728,028",56.4%,1994,tt0110357
50,51,The Jungle Book,"$966,550,600","$364,001,123",37.7%,"$602,549,477",62.3%,2016,tt3040964
51,52,Jumanji: Welcome to the Jungle,"$962,102,237","$404,540,171",42%,"$557,562,066",58%,2017,tt2283362
52,53,Pirates of the Caribbean: At World's End,"$960,996,492","$309,420,425",32.2%,"$651,576,067",67.8%,2007,tt0449088
53,54,The Hobbit: The Desolation of Smaug,"$958,366,855","$258,366,855",27%,"$700,000,000",73%,2013,tt1170358
54,55,The Hobbit: The Battle of the Five Armies,"$956,019,788","$255,119,788",26.7%,"$700,900,000",73.3%,2014,tt2310332
55,56,The Lord of the Rings: The Two Towers,"$951,208,089","$342,551,365",36%,"$608,656,724",64%,2002,tt0167261
56,57,Harry Potter and the Order of the Phoenix,"$942,044,510","$292,353,413",31%,"$649,691,097",69%,2007,tt0373889
57,58,Finding Nemo,"$940,343,261","$380,843,261",40.5%,"$559,500,000",59.5%,2003,tt0266543
58,59,Harry Potter and the Half-Blood Prince,"$934,326,396","$302,305,431",32.4%,"$632,020,965",67.6%,2009,tt0417741
59,60,Shrek 2,"$928,760,770","$441,226,247",47.5%,"$487,534,523",52.5%,2004,tt0298148
60,61,Bohemian Rhapsody,"$903,655,259","$216,428,042",24%,"$687,227,217",76%,2018,tt1727824
61,62,Harry Potter and the Goblet of Fire,"$896,346,229","$290,417,905",32.4%,"$605,928,324",67.6%,2005,tt0330373
62,63,Spider-Man 3,"$894,983,373","$336,530,303",37.6%,"$558,453,070",62.4%,2007,tt0413300
63,64,The Lord of the Rings: The Fellowship of the Ring,"$887,832,826","$315,544,750",35.5%,"$572,288,076",64.5%,2001,tt0120737
64,65,Ice Age: Dawn of the Dinosaurs,"$886,686,817","$196,573,705",22.2%,"$690,113,112",77.8%,2009,tt1080016
65,66,Spectre,"$880,674,609","$200,074,609",22.7%,"$680,600,000",77.3%,2015,tt2379713
66,67,Spider-Man: Homecoming,"$880,166,924","$334,201,140",38%,"$545,965,784",62%,2017,tt2250912
67,68,Harry Potter and the Chamber of Secrets,"$879,465,594","$262,450,136",29.8%,"$617,015,458",70.2%,2002,tt0295297
68,69,Ice Age: Continental Drift,"$877,244,782","$161,321,843",18.4%,"$715,922,939",81.6%,2012,tt1667889
69,70,The Secret Life of Pets,"$875,457,937","$368,384,330",42.1%,"$507,073,607",57.9%,2016,tt2709768
70,71,Batman v Superman: Dawn of Justice,"$873,634,919","$330,360,194",37.8%,"$543,274,725",62.2%,2016,tt2975590
71,72,Wolf Warrior 2,"$870,325,439","$2,721,100",0.3%,"$867,604,339",99.7%,2017,tt7131870
72,73,Star Wars: Episode III - Revenge of the Sith,"$868,390,560","$380,270,577",43.8%,"$488,119,983",56.2%,2005,tt0121766
73,74,The Hunger Games: Catching Fire,"$865,011,746","$424,668,047",49.1%,"$440,343,699",50.9%,2013,tt1951264
74,75,Guardians of the Galaxy Vol. 2,"$863,756,051","$389,813,101",45.1%,"$473,942,950",54.9%,2017,tt3896198
75,76,Inside Out,"$857,611,174","$356,461,711",41.6%,"$501,149,463",58.4%,2015,tt2096673
76,77,Venom,"$856,085,151","$213,515,506",24.9%,"$642,569,645",75.1%,2018,tt1270797
77,78,Thor: Ragnarok,"$853,977,126","$315,058,289",36.9%,"$538,918,837",63.1%,2017,tt3501632
78,79,Transformers: Revenge of the Fallen,"$836,303,693","$402,111,870",48.1%,"$434,191,823",51.9%,2009,tt1055369
79,80,Inception,"$829,895,144","$292,576,195",35.2%,"$537,318,949",64.8%,2010,tt1375666
80,81,The Twilight Saga: Breaking Dawn - Part 2,"$829,746,820","$292,324,737",35.2%,"$537,422,083",64.8%,2012,tt1673434
81,82,Spider-Man,"$825,025,036","$407,022,860",49.3%,"$418,002,176",50.7%,2002,tt0145487
82,83,Wonder Woman,"$821,847,012","$412,563,408",50.2%,"$409,283,604",49.8%,2017,tt0451279
83,84,Independence Day,"$817,400,891","$306,169,268",37.5%,"$511,231,623",62.5%,1996,tt0116629
84,85,Fantastic Beasts and Where to Find Them,"$814,037,575","$234,037,575",28.8%,"$580,000,000",71.2%,2016,tt3183660
85,86,Shrek the Third,"$813,367,380","$322,719,944",39.7%,"$490,647,436",60.3%,2007,tt0413267
86,87,Coco,"$807,082,196","$209,726,015",26%,"$597,356,181",74%,2017,tt2380307
87,88,Jumanji: The Next Level,"$796,575,993","$316,831,246",39.8%,"$479,744,747",60.2%,2019,tt7975244
88,89,Harry Potter and the Prisoner of Azkaban,"$796,093,802","$249,975,996",31.4%,"$546,117,806",68.6%,2004,tt0304141
89,90,Pirates of the Caribbean: Dead Men Tell No Tales,"$794,861,794","$172,558,876",21.7%,"$622,302,918",78.3%,2017,tt1790809
90,91,E.T. the Extra-Terrestrial,"$793,482,178","$435,110,554",54.8%,"$358,371,624",45.2%,1982,tt0083866
91,92,2012,"$791,217,826","$166,112,167",21%,"$625,105,659",79%,2009,tt1190080
92,93,Mission: Impossible - Fallout,"$791,115,104","$220,159,104",27.8%,"$570,956,000",72.2%,2018,tt4912910
93,94,Indiana Jones and the Kingdom of the Crystal Skull,"$790,653,942","$317,101,119",40.1%,"$473,552,823",59.9%,2008,tt0367882
94,95,Spider-Man 2,"$788,976,453","$373,585,825",47.4%,"$415,390,628",52.6%,2004,tt0316654
95,96,Fast & Furious 6,"$788,679,850","$238,679,850",30.3%,"$550,000,000",69.7%,2013,tt1905041
96,97,Deadpool 2,"$785,794,179","$324,591,735",41.3%,"$461,202,444",58.7%,2018,tt5463162
97,98,Deadpool,"$782,612,155","$363,070,709",46.4%,"$419,541,446",53.6%,2016,tt1431045
98,99,Star Wars: Episode IV - A New Hope,"$775,512,064","$460,998,507",59.4%,"$314,513,557",40.6%,1977,tt0076759
99,100,Guardians of the Galaxy,"$772,776,600","$333,176,600",43.1%,"$439,600,000",56.9%,2014,tt2015381
100,101,The Da Vinci Code,"$760,006,945","$217,536,138",28.6%,"$542,470,807",71.4%,2006,tt0382625
101,102,Fast & Furious Presents: Hobbs & Shaw,"$759,056,935","$173,956,935",22.9%,"$585,100,000",77.1%,2019,tt6806448
102,103,Maleficent,"$758,410,378","$241,410,378",31.8%,"$517,000,000",68.2%,2014,tt1587310
103,104,The Amazing Spider-Man,"$757,930,663","$262,030,663",34.6%,"$495,900,000",65.4%,2012,tt0948470
104,105,The Hunger Games: Mockingjay - Part 1,"$755,356,711","$337,135,885",44.6%,"$418,220,826",55.4%,2014,tt1951265
